frame,track_id,x1,y1,x2,y2,conf,finger
271,39,893,1747,945,1806,0.38,Unknown
271,40,644,1968,727,2055,0.38,Unknown
271,43,877,1793,950,1852,0.38,Unknown
272,40,639,1967,716,2047,0.45,Thumb
272,43,876,1792,952,1854,0.45,Thumb
273,40,627,1955,708,2041,0.41,Thumb
273,43,874,1792,953,1856,0.41,Pinky
274,40,622,1945,697,2026,0.58,Pinky
274,43,873,1792,954,1858,0.58,Pinky
275,40,615,1932,689,2012,0.36,Thumb
275,43,871,1792,955,1860,0.36,Pinky
276,40,610,1915,686,2001,0.47,Thumb
276,43,870,1791,956,1861,0.47,Pinky
277,40,604,1908,681,1993,0.30,Thumb
277,43,869,1791,957,1863,0.30,Pinky
277,45,897,1765,946,1818,0.30,Thumb
278,40,598,1900,675,1986,0.46,Thumb
278,43,867,1791,958,1865,0.46,Pinky
278,45,893,1758,952,1822,0.46,Pinky
279,40,593,1893,669,1979,0.54,Thumb
279,43,866,1790,959,1867,0.54,Pinky
279,45,889,1753,965,1837,0.54,Pinky
280,40,587,1885,664,1971,0.50,Unknown
280,43,864,1790,961,1869,0.50,Unknown
280,45,886,1742,971,1836,0.50,Unknown
281,40,581,1877,658,1964,0.58,Thumb
281,43,863,1790,962,1871,0.58,Ring
281,45,885,1736,976,1838,0.58,Pinky
282,40,575,1870,653,1956,0.62,Unknown
282,45,883,1730,982,1840,0.62,Unknown
283,40,570,1862,647,1949,0.50,Unknown
283,45,882,1724,988,1841,0.50,Unknown
283,47,897,1707,980,1814,0.50,Unknown
284,40,564,1854,642,1942,0.45,Unknown
284,45,881,1717,993,1843,0.45,Unknown
284,47,900,1704,983,1812,0.45,Unknown
285,40,558,1847,636,1934,0.55,Unknown
285,45,879,1711,999,1845,0.55,Unknown
285,47,910,1699,985,1797,0.55,Unknown
286,40,552,1839,631,1927,0.65,Unknown
286,45,878,1705,1005,1847,0.65,Unknown
286,47,912,1695,988,1795,0.65,Unknown
287,45,876,1699,1010,1849,0.61,Unknown
287,47,901,1679,990,1796,0.61,Unknown
288,45,875,1693,1016,1850,0.61,Unknown
288,47,902,1673,991,1790,0.61,Unknown
289,45,874,1687,1022,1852,0.66,Unknown
289,47,900,1671,985,1781,0.66,Unknown
290,45,872,1681,1027,1854,0.66,Unknown
290,47,902,1668,986,1775,0.66,Unknown
291,47,904,1666,988,1771,0.72,Thumb
292,47,911,1666,989,1761,0.65,Thumb
293,47,921,1667,993,1752,0.55,Thumb
294,47,931,1683,991,1752,0.64,Thumb
295,47,934,1682,993,1749,0.64,Thumb
296,47,938,1681,994,1746,0.64,Thumb
297,47,941,1680,996,1743,0.64,Thumb
298,47,944,1679,997,1739,0.64,Thumb
299,47,947,1678,999,1736,0.54,Thumb
300,47,951,1677,1000,1733,0.33,Thumb
301,47,954,1676,1001,1730,0.33,Ring
302,47,957,1675,1003,1727,0.33,Thumb
303,47,961,1674,1004,1724,0.33,Thumb
304,47,964,1673,1006,1721,0.33,Thumb
316,49,909,1600,1027,1686,0.40,Thumb
317,49,923,1619,1013,1686,0.45,Thumb
318,49,918,1598,1026,1677,0.42,Thumb
319,49,913,1586,1029,1671,0.61,Thumb
320,49,913,1581,1028,1667,0.57,Thumb
321,49,905,1569,1033,1665,0.48,Thumb
322,49,903,1563,1031,1661,0.31,Thumb
323,49,904,1560,1030,1657,0.31,Thumb
324,49,916,1568,1024,1651,0.35,Thumb
324,50,822,1663,864,1697,0.35,Thumb
325,49,912,1548,1036,1646,0.58,Thumb
325,50,823,1661,866,1696,0.58,Thumb
326,49,913,1540,1036,1639,0.54,Thumb
326,50,825,1659,869,1694,0.54,Thumb
327,49,922,1551,1020,1630,0.45,Thumb
327,50,826,1656,872,1693,0.45,Thumb
328,49,919,1548,1020,1630,0.40,Thumb
328,50,821,1643,864,1678,0.40,Thumb
329,49,918,1551,1014,1629,0.37,Thumb
329,50,821,1639,864,1674,0.37,Thumb
330,49,912,1541,1014,1625,0.31,Thumb
330,50,821,1635,865,1671,0.31,Thumb
330,53,848,1760,932,1799,0.31,Thumb
331,49,911,1537,1013,1621,0.31,Thumb
331,50,821,1631,866,1667,0.31,Thumb
331,53,842,1758,928,1798,0.31,Thumb
332,49,909,1529,1005,1610,0.50,Thumb
332,50,821,1627,867,1663,0.50,Thumb
332,53,835,1756,925,1798,0.50,Thumb
333,49,901,1518,1006,1608,0.40,Thumb
333,50,821,1623,868,1660,0.40,Index
333,53,829,1754,922,1797,0.40,Thumb
334,49,903,1520,998,1602,0.31,Thumb
334,50,821,1618,869,1656,0.31,Thumb
334,53,822,1752,918,1797,0.31,Thumb
335,49,901,1515,997,1597,0.31,Thumb
335,50,821,1614,870,1653,0.31,Thumb
335,53,816,1750,915,1796,0.31,Thumb
336,49,890,1497,997,1591,0.46,Index
336,50,822,1610,870,1649,0.46,Index
336,53,809,1748,912,1796,0.46,Index
337,49,885,1492,992,1586,0.51,Index
337,50,822,1606,871,1646,0.51,Index
337,53,803,1746,909,1795,0.51,Index
338,49,882,1486,988,1581,0.61,Index
338,50,822,1602,872,1642,0.61,Pinky
338,53,796,1744,905,1795,0.61,Pinky
339,49,883,1486,983,1575,0.68,Index
339,53,790,1742,902,1794,0.68,Pinky
340,49,883,1483,980,1569,0.68,Index
340,53,783,1741,899,1794,0.68,Pinky
341,49,879,1482,979,1570,0.75,Index
342,49,872,1483,974,1571,0.77,Thumb
343,49,868,1482,968,1568,0.74,Thumb
344,49,865,1480,965,1566,0.77,Thumb
345,49,864,1480,965,1567,0.71,Thumb
346,49,860,1479,960,1568,0.70,Index
347,49,856,1474,960,1567,0.49,Thumb
348,49,853,1473,954,1565,0.71,Thumb
349,49,857,1478,945,1560,0.80,Thumb
350,49,855,1477,944,1562,0.37,Thumb
351,49,859,1477,938,1554,0.71,Thumb
352,49,863,1476,933,1546,0.57,Thumb
353,49,860,1475,934,1549,0.61,Thumb
354,49,868,1474,930,1536,0.49,Thumb
355,49,868,1477,928,1537,0.34,Thumb
355,56,725,1418,769,1458,0.34,Index
